Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight;mistake
1.54764E+12;0.06496116;0.2390752;0.83772314;-10.187702;855;378;930;646;1
1.54764E+12;0.48923326;0.29230773;1.4243457;-6.8542547;851;361;928;647;1
1.54764E+12;0.14587462;0.43922955;1.3828244;-7.5810766;867;328;924;644;1
1.54764E+12;-0.22938862;0.43123594;1.3215982;-7.8640714;846;349;942;643;1
1.54764E+12;-0.22832397;0.44827035;1.2566545;-7.4811144;860;366;946;632;1
1.54764E+12;-0.09896017;0.105976395;0.98251563;-7.537167;873;380;955;617;1
1.54764E+12;-0.26771605;0.09480628;0.9228952;-8.370665;875;360;959;615;1
1.54764E+12;-0.05639159;0.3545811;0.9468411;-8.75164;886;378;961;598;1
1.54764E+12;-0.114947386;0.33276448;0.99316216;-8.114208;896;402;962;572;1
1.54764E+12;-0.16924457;0.17945476;0.7658505;-9.311366;903;414;962;575;1
1.54764E+12;-0.15966272;0.14432128;0.6615147;-9.784499;918;392;963;560;1
1.54764E+12;-0.22406536;0.2502453;0.8078955;-6.95597;922;392;961;495;1
1.54764E+12;-0.53122586;0.1725258;0.7812966;-6.976771;918;387;960;523;1
1.54764E+12;-0.7995004;-0.06913249;0.66896725;-7.8723745;915;373;955;548;1
1.54764E+12;-0.53974307;0.120881505;0.58327156;-8.862741;919;392;956;554;1
1.54764E+12;-0.1894555;0.5227959;0.9675931;-9.06961;919;407;956;548;1
1.54764E+12;-0.28527406;0.7096334;1.3476909;-7.7978573;914;399;958;527;1
1.54764E+12;-0.9570862;0.76925385;1.2241914;-6.085065;907;371;958;495;1
1.54764E+12;-0.80590576;0.6053151;0.90692544;-6.788874;901;383;959;526;1
1.54764E+12;-0.094701566;0.23853415;0.4810651;-10.069113;910;404;959;526;1
1.54764E+12;0.2688505;0.7548898;0.79033744;-7.6674213;906;421;962;559;1
1.54764E+12;-0.4790405;0.99921846;1.0745993;-7.7793646;884;419;959;567;1
1.54764E+12;-0.41144392;0.7149741;0.8499579;-5.1570244;866;401;958;523;1
1.54764E+12;0.011205014;0.61116195;0.3937463;-8.142422;852;415;963;439;1
1.54764E+12;-0.021781709;0.5547354;0.14995869;-8.924195;782;429;964;167;1
1.54764E+12;-0.31669;0.5664466;0.2974041;-8.667326;799;435;967;135;1
1.54764E+12;-0.26823965;0.625526;0.3857701;-8.256874;805;440;967;154;1
1.54764E+12;-0.26185176;0.5206666;0.12227777;-7.6206484;812;438;967;186;1
1.54764E+12;-0.13196434;0.20605357;-0.07733554;-8.27482;826;439;966;188;1
1.54764E+12;0.2773677;0.15495034;-0.3472158;-8.612777;865;443;966;242;1
1.54764E+12;0.40673152;0.38172096;-0.39353684;-9.0764475;876;454;964;373;1
1.54764E+12;0.19964822;0.43868852;-0.49200833;-8.686069;900;476;963;347;1
