Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;mistake
1547631700613;-1.301108;-1.0548944;0.55443877;-10.961901;596;0;0
1547631700662;-1.4038556;-1.1001508;0.68219686;-13.329086;630;0;0
1547631700713;-1.509256;-0.8483522;1.0856996;-14.5055685;840;0;0
1547631700763;-0.8177566;-0.6274459;1.463127;-11.171422;923;207;0
1547631700838;-0.2779786;-0.30112165;1.0851759;-8.865796;937;337;0
1547631700887;-0.12733923;-0.26918212;0.7487463;-10.669061;936;392;0
1547631700938;-0.12892747;0.120462626;0.6422812;-5.97112;932;423;0
1547631700987;-0.4440641;0.5351354;0.49375364;-6.6658406;921;434;0
1547631701038;-0.35198054;1.0520321;0.3399203;-7.68623;906;430;0
1547631701086;-1.0679495;1.5992626;0.39154717;-9.390461;906;407;0
1547631701137;-1.4730579;1.365563;0.4314803;-15.318141;907;366;0
1547631701187;-1.438448;1.2431282;0.6406755;-9.436966;900;294;0
1547631701237;-0.77145296;0.37491417;0.6640978;-8.050962;855;210;0
1547631701286;-0.32004103;0.93437946;0.40273473;-7.752052;762;98;0
1547631701337;-0.24870941;0.6953741;0.32979742;-8.793338;772;39;0
1547631701386;-0.10498156;0.3509508;0.18606955;-9.748586;755;10;0
1547631701437;-0.12201597;0.2987829;0.09079203;-9.925201;745;20;0
1547631701486;-0.3743382;0.1385617;0.06949901;-9.440299;673;56;0
1547631701537;-0.6138846;0.18805923;0.10089748;-8.77815;682;98;0
1547631701586;-0.75920075;0.06455973;0.04766494;-9.190602;679;128;0
1547631701637;-0.4770683;0.04113741;0.074281216;-11.229783;720;130;0
1547631701686;-0.48825586;-0.018989183;0.2829528;-11.729032;796;147;0
1547631701737;-0.12201597;-0.33625513;0.266983;-11.39143;891;191;0
1547631701787;0.050981067;-0.3373198;0.38570032;-9.844526;925;281;0
1547631701837;-0.08155923;-0.31389746;0.43732715;-8.783531;933;342;0
1547631701887;-0.22474605;-0.07648033;0.40325832;-9.299175;933;363;0
1547631701937;-0.21676989;0.40365976;0.30743974;-9.05375;932;364;0
1547631701987;-0.2971423;0.4175002;0.30691615;-10.593921;933;344;0
1547631702037;-0.24764477;0.34084535;0.4485147;-9.392578;933;336;0
1547631702086;-0.009686577;0.044872414;0.4942947;-8.61791;935;301;0
1547631702137;0.06801548;0.11301007;0.316498;-9.425455;935;285;0
1547631702187;0.048310712;0.15240215;0.19299851;-8.719663;934;288;0
1547631702237;0.08131489;0.17901842;0.11634365;-9.14426;931;261;0
1547631702287;0.040858157;0.140691;0.040212385;-9.548478;928;223;0
1547631702337;-0.0032986724;0.18273596;-0.11786208;-8.865557;923;180;0
1547631702387;-0.067718774;0.105557516;-0.17961183;-8.933878;919;168;0
1547631702437;-0.07836528;0.022514747;-0.22113322;-9.243007;915;201;0
1547631702486;-0.10711086;0.008133234;-0.23977333;-9.326584;907;235;0
1547631702537;-0.16193165;-0.032829642;-0.25148448;-9.308321;898;260;0
1547631702587;-0.21038198;-0.04082325;-0.2770361;-9.237587;891;262;0
